attendance,assignment_rate,study_hours,sleep_hours,screen_time,stress_level,mood_score,previous_gpa,burnout_risk
74.9816047538945,83.63514971044489,6.834312586700398,8.567890057013475,6.888756893806504,5.4970321935614805,6.8112160160458455,8.862509828423534,1
98.02857225639664,89.83406985956861,2.551477258946496,6.62680240909749,1.72029312789343,7.720720952613348,4.6217664483128384,7.405721798979878,1
89.2797576724562,62.52339493962495,8.851551070193334,7.624551359180422,3.180968303083651,6.0640010259069985,5.247181989231288,8.94479167505173,1
83.94633936788146,81.24370498034995,6.518046151623174,6.180241489862939,7.963114118313257,1.7497232480061675,7.450523044133055,5.367541384013376,1
66.24074561769746,78.58729915718743,2.4148349520125882,7.150172887712191,5.758172683109377,2.6702221310519985,8.886754267001145,5.957969839514975,1
66.2397808134481,91.64151883941355,9.661042517330861,5.702879687105593,9.351721556083403,2.9739536562782725,3.449969207557981,7.757671248231803,1
62.323344486727976,95.30435302406303,5.665289170017886,5.505795098927226,4.858762675072189,3.320778282803604,4.078691163739637,9.735441623763474,1
94.6470458309974,50.60783857386934,1.6560860668448951,6.891148930847569,8.828311292325306,6.088630527554538,9.376654567261713,5.3737892336089015,1
84.04460046972835,83.70099595293964,6.641496139735605,6.490648370919901,5.0405989373041376,5.535692018428541,6.2066061316850085,5.2154210807843215,1
88.32290311184181,52.59178995598645,3.278790163115292,6.897681845749905,9.813234508317867,2.8284403452778806,2.6106563542150094,5.782753374639278,1
60.823379771832094,77.44293325386779,8.233241066895722,5.433302906435115,9.638509432589892,1.6079935911011836,6.973256250211445,8.205765644300783,1
98.79639408647978,64.38163645218391,8.360398662095715,5.834789159084976,3.962230350004723,2.542889840272463,9.916859399854417,6.994964583351235,1
93.29770563201687,65.33882997610706,9.810526202691957,4.419489803144547,8.973313033751229,9.85943181356743,8.411082080233601,9.127761897088432,1
68.49356442713105,67.64792517261783,5.516825779220533,4.261381861361029,8.628502367940843,5.21692254812325,7.711670228962625,5.359665757406829,1
67.27299868828402,81.0646224524805,5.094611917549634,5.267285648365082,2.8961235759480655,8.806109542319012,2.872419888396423,5.982070434073505,1
67.33618039413736,66.70249828343846,7.781280449018325,4.3712342966527284,6.6186136070494275,8.63877220001959,8.885258062156066,6.5001320273244785,1
72.1696897183815,86.63495252951401,2.192235907077339,4.5188735431737035,1.6541408403083337,5.6036760171658635,5.732099591819918,8.133650433443925,1
80.99025726528951,70.22636927869348,5.922239624138117,8.064642026969686,8.530396485251154,7.360189376144891,9.0036101986476,8.425863451507736,1
77.27780074568463,53.41766001549793,5.9162284011776585,4.194368485083446,2.5709129515314686,2.7347680937144103,3.968450464823914,5.621016469818869,1
71.64916560792167,89.18799212420537,1.8052581052934848,7.2947139696737135,1.6373323124718806,7.195570344342174,1.5584594737188948,9.719023544958699,1
84.47411578889518,64.2879162296353,4.761856769562222,5.362788744077003,4.601971859849301,3.4514612133696057,5.283783717937715,6.705220675951046,1
65.57975442608168,71.63834397996314,8.679563187104819,8.357728403540632,6.192299247396791,8.488558870787358,3.4285384433608987,8.565843815001415,1
71.68578594140872,84.27219416109509,8.705382597951942,6.424961422887497,8.69425262703794,1.7535171979801891,7.437063607986683,7.6210385947384935,1
74.65447373174767,66.6228078574356,1.8931389842771291,5.527882296639129,9.768182729695628,7.9582480559674975,9.613958975704291,6.113790567735533,1
78.24279936868143,52.82928280733578,1.8164879447304778,6.588194678447173,4.955432613128773,1.8994321591175758,7.218767360364075,9.231141615577055,1
